State,score,Date
AR,1.3641109611909137,2016-01
AZ,1.2422648103003002,2016-01
CA,1.1712674431948626,2016-01
CO,0.9587651300373538,2016-01
CT,1.2853772320958303,2016-01
FL,1.31488364247824,2016-01
GA,1.1562819007199194,2016-01
IA,1.1443092693496415,2016-01
IL,1.3080594100220777,2016-01
IN,1.1810347530231455,2016-01
KS,1.205972383490663,2016-01
MA,1.351932584405798,2016-01
MD,1.147355718206008,2016-01
ME,1.2853772320958303,2016-01
MI,1.228553137831771,2016-01
MN,1.3754564461714964,2016-01
MO,1.205972383490663,2016-01
NC,1.1888043169910438,2016-01
NM,0.9867455077678391,2016-01
NV,0.90323890230365,2016-01
NY,1.0897666295676056,2016-01
OK,1.3371739023945928,2016-01
OR,1.2294015908466014,2016-01
PA,1.1973397837804465,2016-01
TN,1.1617823538833731,2016-01
TX,1.2099838020545113,2016-01
WA,1.4252027541870518,2016-01
AR,1.2699948409952586,2016-04
AZ,0.9627419474481841,2016-04
CA,1.1815264252405786,2016-04
CO,1.100337993479931,2016-04
CT,1.1624039075467123,2016-04
FL,1.2207061009010818,2016-04
GA,1.2145993810345006,2016-04
IA,1.1073878628533098,2016-04
IL,1.2000418653540665,2016-04
IN,1.2113594046150495,2016-04
KS,1.137554775990189,2016-04
MA,1.2644874934501855,2016-04
MD,0.8106788159102045,2016-04
ME,1.1624039075467123,2016-04
MI,1.1520792369271164,2016-04
MN,1.2159646564121926,2016-04
MO,1.137554775990189,2016-04
NC,1.1718705429345415,2016-04
NM,0.930381961018989,2016-04
NV,0.8781548810300306,2016-04
NY,1.0980231453670384,2016-04
OK,1.1148050789861637,2016-04
OR,1.1405599071328734,2016-04
PA,1.165423895662707,2016-04
TN,1.0933133866161624,2016-04
TX,1.2816062252708906,2016-04
WA,1.417065697803519,2016-04
AR,1.257903749211244,2016-07
AZ,1.1742419383369094,2016-07
CA,1.2493463390889028,2016-07
CO,0.956006779387972,2016-07
CT,1.135547066055851,2016-07
FL,1.3037272202445018,2016-07
GA,1.1903404078396436,2016-07
IA,1.2868729699655792,2016-07
IL,1.2136380866721124,2016-07
IN,1.2217648214611696,2016-07
KS,1.3149585144563507,2016-07
MA,1.333348174072659,2016-07
MD,1.0591622001225822,2016-07
ME,1.135547066055851,2016-07
MI,1.2072801665747976,2016-07
MN,1.1373645193163668,2016-07
MO,1.3149585144563507,2016-07
NC,1.2099072095960062,2016-07
NM,0.9198825534880766,2016-07
NV,0.8471148277249263,2016-07
NY,1.2025992365037568,2016-07
OK,1.2893216765512368,2016-07
OR,1.1648211791796736,2016-07
PA,1.1590949635926693,2016-07
TN,1.2283236193685692,2016-07
TX,1.2813934788027745,2016-07
WA,1.2872754440559018,2016-07
AR,1.2587448277842366,2016-10
AZ,1.1896589701555502,2016-10
CA,1.2198704047582225,2016-10
CO,0.9390505487958796,2016-10
CT,1.316361087632836,2016-10
FL,1.2509358599252363,2016-10
GA,1.2303354852839745,2016-10
IA,1.158203089077782,2016-10
IL,1.3724983057221352,2016-10
IN,1.358217379898217,2016-10
KS,1.1601642453618588,2016-10
MA,1.5559298831471873,2016-10
MD,1.100078661949336,2016-10
ME,1.316361087632836,2016-10
MI,1.283925111032223,2016-10
MN,1.3322473253263214,2016-10
MO,1.1601642453618588,2016-10
NC,1.2128711323751695,2016-10
NM,1.0378823969837168,2016-10
NV,1.0442173743914558,2016-10
NY,1.4792619958617448,2016-10
OK,1.2792392783617643,2016-10
OR,1.2926606045935134,2016-10
PA,1.2048428830128746,2016-10
TN,1.1841197684883962,2016-10
TX,1.2805280813443132,2016-10
WA,1.4090676097436612,2016-10
AR,1.3218434986704608,2017-01
AZ,1.2092868848443978,2017-01
CA,1.1118239150998976,2017-01
CO,1.0314478064752588,2017-01
CT,1.2488903954773325,2017-01
FL,1.242100891234342,2017-01
GA,1.3107656599757727,2017-01
IA,1.269124356110903,2017-01
IL,1.3662604263413423,2017-01
IN,1.2695792833705133,2017-01
KS,1.1728884895021725,2017-01
MA,1.3292169798389049,2017-01
MD,1.182448162178751,2017-01
ME,1.2488903954773325,2017-01
MI,1.3011404608161183,2017-01
MN,1.513610734021516,2017-01
MO,1.1728884895021725,2017-01
NC,1.3179150871474081,2017-01
NM,1.1027392675876828,2017-01
NV,1.0968667385446758,2017-01
NY,1.2029489680887966,2017-01
OK,1.2361256075100446,2017-01
OR,1.2503159009170886,2017-01
PA,1.2030399704327344,2017-01
TN,1.258302617007416,2017-01
TX,1.2633560697411248,2017-01
WA,1.3009564640576086,2017-01
AR,1.3517038005517832,2017-04
AZ,1.1034581737335234,2017-04
CA,1.2527161066596302,2017-04
CO,1.1268345941904914,2017-04
CT,1.1328501276058147,2017-04
FL,1.2691684181690237,2017-04
GA,1.2977023558168517,2017-04
IA,1.2345214007610517,2017-04
IL,1.2899814952886006,2017-04
IN,1.2775661693271247,2017-04
KS,1.3653071896048263,2017-04
MA,1.500070030451672,2017-04
MD,0.8936854099539091,2017-04
ME,1.1328501276058147,2017-04
MI,1.186939627438089,2017-04
MN,1.2363079183149748,2017-04
MO,1.3653071896048263,2017-04
NC,1.2672000846055664,2017-04
NM,0.9981205843354801,2017-04
NV,0.9469311690140212,2017-04
NY,1.2353199235794563,2017-04
OK,1.313230937513138,2017-04
OR,1.189522553761622,2017-04
PA,1.1833806186249907,2017-04
TN,1.158977388329582,2017-04
TX,1.2875817442816002,2017-04
WA,1.294644925050392,2017-04
AR,1.3720759188434362,2017-07
AZ,1.0192463387321584,2017-07
CA,1.3789891128203449,2017-07
CO,0.9977418383274296,2017-07
CT,1.2745153547736436,2017-07
FL,1.2088084430949886,2017-07
GA,1.1908353104174325,2017-07
IA,1.1686462598970857,2017-07
IL,1.212406625371206,2017-07
IN,1.2639037096088692,2017-07
KS,1.2122587363385493,2017-07
MA,1.363511337524299,2017-07
MD,0.914617583626406,2017-07
ME,1.2745153547736436,2017-07
MI,1.1811132821943988,2017-07
MN,1.1126395948929024,2017-07
MO,1.2122587363385493,2017-07
NC,1.180932818512804,2017-07
NM,0.9586551249119404,2017-07
NV,0.8987881344789657,2017-07
NY,1.124675211949406,2017-07
OK,1.1238750938379107,2017-07
OR,1.182170819780835,2017-07
PA,1.1631858954729706,2017-07
TN,1.1528357836734013,2017-07
TX,1.1836005228218445,2017-07
WA,1.2471026791224498,2017-07
AR,1.4755614699964994,2017-10
AZ,1.3092737846322735,2017-10
CA,1.2481041070799552,2017-10
CO,0.9699223471644678,2017-10
CT,1.248810803084331,2017-10
FL,1.4308370408929953,2017-10
GA,1.1724968344902762,2017-10
IA,1.2462957360739626,2017-10
IL,1.3853893541730795,2017-10
IN,1.4113170128622183,2017-10
KS,1.2931925912195543,2017-10
MA,1.2115113560643862,2017-10
MD,1.052160162797617,2017-10
ME,1.248810803084331,2017-10
MI,1.2678202190828962,2017-10
MN,1.3601868329269275,2017-10
MO,1.2931925912195543,2017-10
NC,1.2954034832140389,2017-10
NM,0.875174385792485,2017-10
NV,0.7648131809497218,2017-10
NY,1.205870679713785,2017-10
OK,1.56638740646693,2017-10
OR,1.2257312786689014,2017-10
PA,1.2208150423241038,2017-10
TN,1.2851320878026866,2017-10
TX,1.2214978706425597,2017-10
WA,1.2941253105519168,2017-10
