city,score,lat,lng,date
Vancouver,1.402595271352252,49.24966,-123.119339,2016-01
Portland,1.2853772320958305,45.523449,-122.676208,2016-01
San Francisco,1.300718255127444,37.774929,-122.419418,2016-01
Seattle,1.4478102370218517,47.606209,-122.332069,2016-01
Los Angeles,1.0109096918587304,34.052231,-118.243683,2016-01
San Diego,1.2021743825984135,32.715328,-117.157257,2016-01
Las Vegas,0.90323890230365,36.174969,-115.137222,2016-01
Phoenix,1.1473557182060081,33.44838,-112.074043,2016-01
Albuquerque,1.0702521132320282,35.084492,-106.651138,2016-01
Denver,0.9587651300373538,39.739151,-104.984703,2016-01
San Antonio,1.2433660638492134,29.42412,-98.493629,2016-01
Dallas,1.0562175151411317,32.783058,-96.806671,2016-01
Houston,1.330367827173189,29.763281,-95.363274,2016-01
Kansas City,1.205972383490663,39.099731,-94.578568,2016-01
Minneapolis,1.3754564461714964,44.979969,-93.26384,2016-01
Chicago,1.369487746592831,41.850029,-87.650047,2016-01
Nashville,1.1905795222824884,36.16589,-86.784439,2016-01
Indianapolis,1.1810347530231455,39.768379,-86.158043,2016-01
Atlanta,1.2563462862987074,33.749001,-84.387978,2016-01
Detroit,1.2939465275991233,42.331429,-83.045753,2016-01
Jacksonville,1.3641109611909135,30.33218,-81.655647,2016-01
Charlotte,1.1443092693496415,35.227089,-80.843132,2016-01
Miami,1.3371739023945928,25.774269,-80.193657,2016-01
Pittsburgh,1.349767907893253,40.44062,-79.995888,2016-01
Philadelphia,1.15045827001799,39.952339,-75.163788,2016-01
New York,1.0897666295676056,40.714272,-74.005966,2016-01
Boston,1.351932584405798,42.358429,-71.059769,2016-01
Vancouver,1.404063630619813,49.24966,-123.119339,2016-04
Portland,1.1624039075467125,45.523449,-122.676208,2016-04
San Francisco,1.184639331691792,37.774929,-122.419418,2016-04
Seattle,1.4300677649872253,47.606209,-122.332069,2016-04
Los Angeles,1.0978362786067124,34.052231,-118.243683,2016-04
San Diego,1.2621036654232314,32.715328,-117.157257,2016-04
Las Vegas,0.8781548810300306,36.174969,-115.137222,2016-04
Phoenix,0.8106788159102045,33.44838,-112.074043,2016-04
Albuquerque,0.9826090410079474,35.084492,-106.651138,2016-04
Denver,1.100337993479931,39.739151,-104.984703,2016-04
San Antonio,1.277318382721823,29.42412,-98.493629,2016-04
Dallas,1.2156481308966733,32.783058,-96.806671,2016-04
Houston,1.3518521621941755,29.763281,-95.363274,2016-04
Kansas City,1.137554775990189,39.099731,-94.578568,2016-04
Minneapolis,1.2159646564121926,44.979969,-93.26384,2016-04
Chicago,1.2356794180740165,41.850029,-87.650047,2016-04
Nashville,1.094451336992925,36.16589,-86.784439,2016-04
Indianapolis,1.2113594046150495,39.768379,-86.158043,2016-04
Atlanta,1.2135506311723283,33.749001,-84.387978,2016-04
Detroit,1.2440738403155187,42.331429,-83.045753,2016-04
Jacksonville,1.2699948409952586,30.33218,-81.655647,2016-04
Charlotte,1.1073878628533098,35.227089,-80.843132,2016-04
Miami,1.1148050789861637,25.774269,-80.193657,2016-04
Pittsburgh,1.1314044669744685,40.44062,-79.995888,2016-04
Philadelphia,1.0781009600022526,39.952339,-75.163788,2016-04
New York,1.0980231453670384,40.714272,-74.005966,2016-04
Boston,1.2644874934501855,42.358429,-71.059769,2016-04
Vancouver,1.334657663759773,49.24966,-123.119339,2016-07
Portland,1.1355470660558513,45.523449,-122.676208,2016-07
San Francisco,1.394717316106292,37.774929,-122.419418,2016-07
Seattle,1.2398932243520306,47.606209,-122.332069,2016-07
Los Angeles,1.1686561046712267,34.052231,-118.243683,2016-07
San Diego,1.1846655964891895,32.715328,-117.157257,2016-07
Las Vegas,0.8471148277249263,36.174969,-115.137222,2016-07
Phoenix,1.0591622001225822,33.44838,-112.074043,2016-07
Albuquerque,0.9926502792512268,35.084492,-106.651138,2016-07
Denver,0.9560067793879721,39.739151,-104.984703,2016-07
San Antonio,1.3639562349710246,29.42412,-98.493629,2016-07
Dallas,1.1298221847190661,32.783058,-96.806671,2016-07
Houston,1.3504020167182333,29.763281,-95.363274,2016-07
Kansas City,1.3149585144563507,39.099731,-94.578568,2016-07
Minneapolis,1.1373645193163668,44.979969,-93.26384,2016-07
Chicago,1.2179805763169576,41.850029,-87.650047,2016-07
Nashville,1.1650299344881354,36.16589,-86.784439,2016-07
Indianapolis,1.2217648214611696,39.768379,-86.158043,2016-07
Atlanta,1.2508586309602212,33.749001,-84.387978,2016-07
Detroit,1.2416706957896246,42.331429,-83.045753,2016-07
Jacksonville,1.2579037492112441,30.33218,-81.655647,2016-07
Charlotte,1.2868729699655792,35.227089,-80.843132,2016-07
Miami,1.2893216765512368,25.774269,-80.193657,2016-07
Pittsburgh,1.0969031046124798,40.44062,-79.995888,2016-07
Philadelphia,1.2330679536519928,39.952339,-75.163788,2016-07
New York,1.2025992365037568,40.714272,-74.005966,2016-07
Boston,1.333348174072659,42.358429,-71.059769,2016-07
Vancouver,1.3884002609713368,49.24966,-123.119339,2016-10
Portland,1.316361087632836,45.523449,-122.676208,2016-10
San Francisco,1.3727915175358345,37.774929,-122.419418,2016-10
Seattle,1.4297349585159853,47.606209,-122.332069,2016-10
Los Angeles,1.0794397345395912,34.052231,-118.243683,2016-10
San Diego,1.207379962199242,32.715328,-117.157257,2016-10
Las Vegas,1.0442173743914558,36.174969,-115.137222,2016-10
Phoenix,1.100078661949336,33.44838,-112.074043,2016-10
Albuquerque,1.0315474195759777,35.084492,-106.651138,2016-10
Denver,0.9390505487958796,39.739151,-104.984703,2016-10
San Antonio,1.2148234736297077,29.42412,-98.493629,2016-10
Dallas,1.2807593954107723,32.783058,-96.806671,2016-10
Houston,1.3460013749924595,29.763281,-95.363274,2016-10
Kansas City,1.1601642453618588,39.099731,-94.578568,2016-10
Minneapolis,1.3322473253263214,44.979969,-93.26384,2016-10
Chicago,1.7049728721542812,41.850029,-87.650047,2016-10
Nashville,1.1537772172278875,36.16589,-86.784439,2016-10
Indianapolis,1.3582173798982167,39.768379,-86.158043,2016-10
Atlanta,1.1799115751571763,33.749001,-84.387978,2016-10
Detroit,1.5073590501903864,42.331429,-83.045753,2016-10
Jacksonville,1.2587448277842366,30.33218,-81.655647,2016-10
Charlotte,1.158203089077782,35.227089,-80.843132,2016-10
Miami,1.2792392783617645,25.774269,-80.193657,2016-10
Pittsburgh,1.29394060910364,40.44062,-79.995888,2016-10
Philadelphia,1.2403789991595193,39.952339,-75.163788,2016-10
New York,1.4792619958617448,40.714272,-74.005966,2016-10
Boston,1.5559298831471873,42.358429,-71.059769,2016-10
Vancouver,1.2634682092046485,49.24966,-123.119339,2017-01
Portland,1.2488903954773325,45.523449,-122.676208,2017-01
San Francisco,1.2329114773658358,37.774929,-122.419418,2017-01
Seattle,1.3384447189105688,47.606209,-122.332069,2017-01
Los Angeles,1.0985620743679116,34.052231,-118.243683,2017-01
San Diego,1.0039981935659452,32.715328,-117.157257,2017-01
Las Vegas,1.0968667385446758,36.174969,-115.137222,2017-01
Phoenix,1.182448162178751,33.44838,-112.074043,2017-01
Albuquerque,1.10861179663069,35.084492,-106.651138,2017-01
Denver,1.0314478064752588,39.739151,-104.984703,2017-01
San Antonio,1.1683335675225206,29.42412,-98.493629,2017-01
Dallas,1.2462714251954647,32.783058,-96.806671,2017-01
Houston,1.375463216505389,29.763281,-95.363274,2017-01
Kansas City,1.1728884895021725,39.099731,-94.578568,2017-01
Minneapolis,1.5136107340215161,44.979969,-93.26384,2017-01
Chicago,1.3425167117407615,41.850029,-87.650047,2017-01
Nashville,1.4344210686128043,36.16589,-86.784439,2017-01
Indianapolis,1.2695792833705133,39.768379,-86.158043,2017-01
Atlanta,1.3752598947560808,33.749001,-84.387978,2017-01
Detroit,1.2521260230634341,42.331429,-83.045753,2017-01
Jacksonville,1.3218434986704608,30.33218,-81.655647,2017-01
Charlotte,1.2691243561109027,35.227089,-80.843132,2017-01
Miami,1.2361256075100446,25.774269,-80.193657,2017-01
Pittsburgh,1.3338864324517483,40.44062,-79.995888,2017-01
Philadelphia,1.071362426298541,39.952339,-75.163788,2017-01
New York,1.2029489680887966,40.714272,-74.005966,2017-01
Boston,1.3292169798389049,42.358429,-71.059769,2017-01
Vancouver,1.3689156419683748,49.24966,-123.119339,2017-04
Portland,1.1328501276058147,45.523449,-122.676208,2017-04
San Francisco,1.3336816829015172,37.774929,-122.419418,2017-04
Seattle,1.2203742081324092,47.606209,-122.332069,2017-04
Los Angeles,1.1741245232722806,34.052231,-118.243683,2017-04
San Diego,1.250342113805093,32.715328,-117.157257,2017-04
Las Vegas,0.9469311690140213,36.174969,-115.137222,2017-04
Phoenix,0.8936854099539091,33.44838,-112.074043,2017-04
Albuquerque,1.049309999656939,35.084492,-106.651138,2017-04
Denver,1.1268345941904914,39.739151,-104.984703,2017-04
San Antonio,1.1425705164421505,29.42412,-98.493629,2017-04
Dallas,1.3357807932102723,32.783058,-96.806671,2017-04
Houston,1.3843939231923776,29.763281,-95.363274,2017-04
Kansas City,1.3653071896048263,39.099731,-94.578568,2017-04
Minneapolis,1.2363079183149748,44.979969,-93.26384,2017-04
Chicago,1.3714463414148597,41.850029,-87.650047,2017-04
Nashville,1.1467943438991588,36.16589,-86.784439,2017-04
Indianapolis,1.2775661693271247,39.768379,-86.158043,2017-04
Atlanta,1.259623918423431,33.749001,-84.387978,2017-04
Detroit,1.2335926374863309,42.331429,-83.045753,2017-04
Jacksonville,1.3517038005517832,30.33218,-81.655647,2017-04
Charlotte,1.2345214007610517,35.227089,-80.843132,2017-04
Miami,1.313230937513138,25.774269,-80.193657,2017-04
Pittsburgh,1.126677536788558,40.44062,-79.995888,2017-04
Philadelphia,1.0956164203285355,39.952339,-75.163788,2017-04
New York,1.2353199235794563,40.714272,-74.005966,2017-04
Boston,1.5000700304516719,42.358429,-71.059769,2017-04
Vancouver,1.179326449497363,49.24966,-123.119339,2017-07
Portland,1.2745153547736436,45.523449,-122.676208,2017-07
San Francisco,1.4427121019813958,37.774929,-122.419418,2017-07
Seattle,1.3148789087475365,47.606209,-122.332069,2017-07
Los Angeles,1.3519820951781756,34.052231,-118.243683,2017-07
San Diego,1.3422731413014632,32.715328,-117.157257,2017-07
Las Vegas,0.8987881344789657,36.174969,-115.137222,2017-07
Phoenix,0.9146175836264059,33.44838,-112.074043,2017-07
Albuquerque,1.018522115344915,35.084492,-106.651138,2017-07
Denver,0.9977418383274295,39.739151,-104.984703,2017-07
San Antonio,1.1304743166036186,29.42412,-98.493629,2017-07
Dallas,1.1256814114322582,32.783058,-96.806671,2017-07
Houston,1.2946458404296566,29.763281,-95.363274,2017-07
Kansas City,1.2122587363385493,39.099731,-94.578568,2017-07
Minneapolis,1.1126395948929024,44.979969,-93.26384,2017-07
Chicago,1.2078162733917455,41.850029,-87.650047,2017-07
Nashville,1.057327683878436,36.16589,-86.784439,2017-07
Indianapolis,1.2639037096088692,39.768379,-86.158043,2017-07
Atlanta,1.255989209402607,33.749001,-84.387978,2017-07
Detroit,1.2239638302284304,42.331429,-83.045753,2017-07
Jacksonville,1.3720759188434362,30.33218,-81.655647,2017-07
Charlotte,1.1686462598970855,35.227089,-80.843132,2017-07
Miami,1.1238750938379107,25.774269,-80.193657,2017-07
Pittsburgh,1.127822495890114,40.44062,-79.995888,2017-07
Philadelphia,1.2325334072446825,39.952339,-75.163788,2017-07
New York,1.1246752119494061,40.714272,-74.005966,2017-07
Boston,1.363511337524299,42.358429,-71.059769,2017-07
Vancouver,1.35934570802198,49.24966,-123.119339,2017-10
Portland,1.248810803084331,45.523449,-122.676208,2017-10
San Francisco,1.2032844101056188,37.774929,-122.419418,2017-10
Seattle,1.2289049130818541,47.606209,-122.332069,2017-10
Los Angeles,1.1835245885200991,34.052231,-118.243683,2017-10
San Diego,1.3575033226141475,32.715328,-117.157257,2017-10
Las Vegas,0.7648131809497218,36.174969,-115.137222,2017-10
Phoenix,1.052160162797617,33.44838,-112.074043,2017-10
Albuquerque,0.9855355906352479,35.084492,-106.651138,2017-10
Denver,0.9699223471644678,39.739151,-104.984703,2017-10
San Antonio,1.2505622462155566,29.42412,-98.493629,2017-10
Dallas,1.117853173539231,32.783058,-96.806671,2017-10
Houston,1.2960781921728914,29.763281,-95.363274,2017-10
Kansas City,1.2931925912195543,39.099731,-94.578568,2017-10
Minneapolis,1.3601868329269275,44.979969,-93.26384,2017-10
Chicago,1.3387030392762764,41.850029,-87.650047,2017-10
Nashville,1.341903553246463,36.16589,-86.784439,2017-10
Indianapolis,1.4113170128622183,39.768379,-86.158043,2017-10
Atlanta,1.2271404954413214,33.749001,-84.387978,2017-10
Detroit,1.234270783926828,42.331429,-83.045753,2017-10
Jacksonville,1.4755614699964994,30.33218,-81.655647,2017-10
Charlotte,1.2462957360739626,35.227089,-80.843132,2017-10
Miami,1.56638740646693,25.774269,-80.193657,2017-10
Pittsburgh,1.350062655871422,40.44062,-79.995888,2017-10
Philadelphia,1.2671969740876345,39.952339,-75.163788,2017-10
New York,1.205870679713785,40.714272,-74.005966,2017-10
Boston,1.2115113560643862,42.358429,-71.059769,2017-10
